uf,cod._uf,cod_municipio,nome_municipio,populacao
PE,26,0012505,Santa Cruz Do Capibaribe,104854.0
PE,26,0012554,Santa Filomena,12360.0
PE,26,0012604,Santa Maria Da Boa Vista,42782.0
PE,26,0012703,Santa Maria Do Cambucá,14586.0
PE,26,0012802,Santa Terezinha,10487.0
PE,26,0012901,São Benedito Do Sul,13456.0
PE,26,0013008,São Bento Do Una,51165.0
PE,26,0013107,São Caitano,39243.0
PE,26,0013206,São João,24895.0
PE,26,0013305,São Joaquim Do Monte,20438.0
PE,26,0013404,São José Da Coroa Grande,19511.0
PE,26,0013503,São José Do Belmonte,36890.0
PE,26,0013602,São José Do Egito,32508.0
PE,26,0013701,São Lourenço Da Mata,118258.0
PE,26,0013800,São Vicente Férrer,17177.0
PE,26,0013909,Serra Talhada,98816.0
PE,26,0014006,Serrita,18764.0
PE,26,0014105,Sertânia,34271.0
PE,26,0014204,Sirinhaém,39171.0
PE,26,0014303,Moreilândia,10839.0
PE,26,0014402,Solidão,5386.0
PE,26,0014501,Surubim,67821.0
PE,26,0014600,Tabira,29180.0
PE,26,0014709,Tacaimbó,14330.0
PE,26,0014808,Tacaratu,24898.0
PE,26,0014857,Tamandaré,24670.0
PE,26,0015003,Taquaritinga Do Norte,25511.0
PE,26,0015102,Terezinha,6853.0
PE,26,0015201,Terra Nova,9231.0
PE,26,0015300,Timbaúba,47312.0
PE,26,0015409,Toritama,43921.0
PE,26,0015508,Tracunhaém,14439.0
PE,26,0015607,Trindade,32257.0
PE,26,0015706,Triunfo,15141.0
PE,26,0015805,Tupanatinga,28141.0
PE,26,0015904,Tuparetama,8261.0
PE,26,0016001,Venturosa,17563.0
PE,26,0016100,Verdejante,9483.0
PE,26,0016183,Vertente Do Lério,7776.0
PE,26,0016209,Vertentes,23127.0
PE,26,0016308,Vicência,27151.0
PE,26,0016407,Vitória De Santo Antão,144243.0
PE,26,0016506,Xexéu,11699.0
AL,27,0000102,Água Branca,19550.0
AL,27,0000201,Anadia,14167.0
AL,27,0000300,Arapiraca,243906.0
AL,27,0000409,Atalaia,38480.0
AL,27,0000508,Barra De Santo Antônio,16756.0
AL,27,0000607,Barra De São Miguel,8123.0
AL,27,0000706,Batalha,17103.0
AL,27,0000805,Belém,4819.0
AL,27,0000904,Belo Monte,5895.0
AL,27,0001001,Boca Da Mata,21479.0
AL,27,0001100,Branquinha,9779.0
AL,27,0001209,Cacimbinhas,10705.0
AL,27,0001308,Cajueiro,16572.0
AL,27,0001357,Campestre,6808.0
AL,27,0001407,Campo Alegre,32558.0
AL,27,0001506,Campo Grande,8285.0
AL,27,0001605,Canapi,15730.0
AL,27,0001704,Capela,15051.0
AL,27,0001803,Carneiros,9206.0
AL,27,0001902,Chã Preta,6000.0
AL,27,0002009,Coité Do Nóia,11036.0
AL,27,0002108,Colônia Leopoldina,15915.0
AL,27,0002207,Coqueiro Seco,5701.0
AL,27,0002306,Coruripe,51784.0
AL,27,0002355,Craíbas,26144.0
AL,27,0002405,Delmiro Gouveia,52845.0
AL,27,0002504,Dois Riachos,9898.0
AL,27,0002553,Estrela De Alagoas,15688.0
AL,27,0002603,Feira Grande,23204.0
AL,27,0002702,Feliz Deserto,4035.0
AL,27,0002801,Flexeiras,9745.0
AL,27,0002900,Girau Do Ponciano,37337.0
AL,27,0003007,Ibateguara,13982.0
AL,27,0003106,Igaci,24445.0
AL,27,0003205,Igreja Nova,22113.0
AL,27,0003304,Inhapi,15396.0
AL,27,0003403,Jacaré Dos Homens,5180.0
AL,27,0003502,Jacuípe,5419.0
AL,27,0003601,Japaratinga,9457.0
AL,27,0003700,Jaramataia,5069.0
AL,27,0003759,Jequiá Da Praia,9607.0
AL,27,0003809,Joaquim Gomes,17342.0
AL,27,0003908,Jundiá,4175.0
AL,27,0004005,Junqueiro,24382.0
AL,27,0004104,Lagoa Da Canoa,18836.0
AL,27,0004203,Limoeiro De Anadia,25184.0
AL,27,0004302,Maceió,994952.0
AL,27,0004401,Major Isidoro,17828.0
AL,27,0004500,Maragogi,33269.0
AL,27,0004609,Maravilha,9709.0
AL,27,0004708,Marechal Deodoro,62477.0
AL,27,0004807,Maribondo,13970.0
AL,27,0004906,Mar Vermelho,3208.0
AL,27,0005002,Mata Grande,22126.0
AL,27,0005101,Matriz De Camaragibe,24331.0
AL,27,0005200,Messias,15706.0
AL,27,0005309,Minador Do Negrão,4935.0
AL,27,0005408,Monteirópolis,7344.0
AL,27,0005507,Murici,25926.0
AL,27,0005606,Novo Lino,10285.0
AL,27,0005705,Olho D'Água Das Flores,21135.0
AL,27,0005804,Olho D'Água Do Casado,8522.0
AL,27,0005903,Olho D'Água Grande,4381.0
AL,27,0006000,Olivença,11047.0
AL,27,0006109,Ouro Branco,11706.0
AL,27,0006208,Palestina,4408.0
AL,27,0006307,Palmeira Dos Índios,73621.0
AL,27,0006406,Pão De Açúcar,24291.0
AL,27,0006422,Pariconha,10807.0
AL,27,0006448,Paripueira,14199.0
AL,27,0006505,Passo De Camaragibe,14070.0
AL,27,0006604,Paulo Jacinto,6691.0
AL,27,0006703,Penedo,60185.0
AL,27,0006802,Piaçabuçu,16192.0
AL,27,0006901,Pilar,36525.0
AL,27,0007008,Pindoba,2786.0
AL,27,0007107,Piranhas,23053.0
AL,27,0007206,Poço Das Trincheiras,12965.0
AL,27,0007305,Porto Calvo,24509.0
AL,27,0007404,Porto De Pedras,9517.0
AL,27,0007503,Porto Real Do Colégio,20273.0
AL,27,0007602,Quebrangulo,11303.0
AL,27,0007701,Rio Largo,97658.0
AL,27,0007800,Roteiro,6606.0
AL,27,0007909,Santa Luzia Do Norte,7066.0
AL,27,0008006,Santana Do Ipanema,47418.0
AL,27,0008105,Santana Do Mundaú,11572.0
AL,27,0008204,São Brás,6557.0
AL,27,0008303,São José Da Laje,21180.0
AL,27,0008402,São José Da Tapera,31569.0
AL,27,0008501,São Luís Do Quitunde,31785.0
AL,27,0008600,São Miguel Dos Campos,53380.0
AL,27,0008709,São Miguel Dos Milagres,8700.0
AL,27,0008808,São Sebastião,32707.0
AL,27,0008907,Satuba,25105.0
AL,27,0008956,Senador Rui Palmeira,12545.0
AL,27,0009004,Tanque D'Arca,5906.0
AL,27,0009103,Taquarana,19428.0
AL,27,0009152,Teotônio Vilela,39143.0
AL,27,0009202,Traipu,24106.0
AL,27,0009301,União Dos Palmares,60860.0
AL,27,0009400,Viçosa,24414.0
SE,28,0000100,Amparo Do São Francisco,2202.0
SE,28,0000209,Aquidabã,20556.0
SE,28,0000308,Aracaju,630932.0
SE,28,0000407,Arauá,10464.0
SE,28,0000506,Areia Branca,18626.0
SE,28,0000605,Barra Dos Coqueiros,45175.0
SE,28,0000670,Boquim,25007.0
SE,28,0000704,Brejo Grande,8025.0
SE,28,0001009,Campo Do Brito,18719.0
SE,28,0001108,Canhoba,3850.0
SE,28,0001207,Canindé De São Francisco,33641.0
SE,28,0001306,Capela,32783.0
SE,28,0001405,Carira,20314.0
SE,28,0001504,Carmópolis,14203.0
SE,28,0001603,Cedro De São João,5474.0
SE,28,0001702,Cristinápolis,17594.0
SE,28,0001900,Cumbe,3872.0
SE,28,0002007,Divina Pastora,4436.0
